Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type
137,71,1/6/23 16:00,376,Purchase
138,46,1/6/23 17:00,2837,Loan Payment
139,47,1/6/23 18:00,1262,Bill Payment
140,591,1/6/23 19:00,2497,Bill Payment
141,422,1/6/23 20:00,4795,Loan Payment
142,149,1/6/23 21:00,3613,Investment
143,910,1/6/23 22:00,3531,Bill Payment
144,130,1/6/23 23:00,4952,Bill Payment
145,456,1/7/23 00:00,4527,Loan Payment
146,639,1/7/23 01:00,1653,Investment
147,877,1/7/23 02:00,1222,Loan Payment
148,631,1/7/23 03:00,4713,Loan Payment
149,966,1/7/23 04:00,29,Investment
150,997,1/7/23 05:00,685,Investment
151,869,1/7/23 06:00,4487,Purchase
152,505,1/7/23 07:00,618,Loan Payment
153,929,1/7/23 08:00,71,Investment
154,774,1/7/23 09:00,1275,Bill Payment
155,244,1/7/23 10:00,2295,Purchase
156,474,1/7/23 11:00,1164,Loan Payment
157,382,1/7/23 12:00,1638,Investment
158,103,1/7/23 13:00,1636,Purchase
159,489,1/7/23 14:00,3726,Purchase
160,37,1/7/23 15:00,1452,Bill Payment
161,654,1/7/23 16:00,1663,Purchase
162,549,1/7/23 17:00,2512,Loan Payment
163,520,1/7/23 18:00,3279,Investment
164,743,1/7/23 19:00,291,Purchase
165,333,1/7/23 20:00,4991,Purchase
166,397,1/7/23 21:00,1034,Loan Payment
167,296,1/7/23 22:00,4828,Bill Payment
168,107,1/7/23 23:00,3413,Bill Payment
169,860,1/8/23 00:00,1245,Investment
170,954,1/8/23 01:00,4192,Loan Payment
171,530,1/8/23 02:00,4770,Bill Payment
172,825,1/8/23 03:00,4967,Investment
173,83,1/8/23 04:00,795,Investment
174,934,1/8/23 05:00,3327,Bill Payment
175,288,1/8/23 06:00,1677,Loan Payment
176,982,1/8/23 07:00,3018,Purchase
177,706,1/8/23 08:00,3204,Bill Payment
178,461,1/8/23 09:00,4799,Purchase
179,215,1/8/23 10:00,3785,Purchase
180,281,1/8/23 11:00,2456,Loan Payment
181,732,1/8/23 12:00,3800,Loan Payment
182,954,1/8/23 13:00,543,Investment
183,459,1/8/23 14:00,411,Loan Payment
184,801,1/8/23 15:00,3673,Investment
185,344,1/8/23 16:00,139,Bill Payment
186,194,1/8/23 17:00,2349,Purchase
187,158,1/8/23 18:00,4381,Loan Payment
188,465,1/8/23 19:00,2969,Bill Payment
189,104,1/8/23 20:00,1868,Investment
190,34,1/8/23 21:00,2983,Loan Payment
191,102,1/8/23 22:00,4160,Purchase
192,639,1/8/23 23:00,3659,Bill Payment
193,726,1/9/23 00:00,2796,Loan Payment
194,325,1/9/23 01:00,3107,Loan Payment
195,944,1/9/23 02:00,3522,Bill Payment
196,808,1/9/23 03:00,4870,Investment
197,691,1/9/23 04:00,1230,Investment
198,592,1/9/23 05:00,651,Loan Payment
199,141,1/9/23 06:00,3324,Investment
200,474,1/9/23 07:00,733,Investment
201,31,1/9/23 08:00,4907,Bill Payment
202,884,1/9/23 09:00,747,Investment
203,935,1/9/23 10:00,4863,Investment
204,63,1/9/23 11:00,1309,Bill Payment
205,560,1/9/23 12:00,3490,Loan Payment
206,87,1/9/23 13:00,349,Loan Payment
207,304,1/9/23 14:00,162,Bill Payment
208,61,1/9/23 15:00,1431,Purchase
209,396,1/9/23 16:00,3061,Bill Payment
210,334,1/9/23 17:00,436,Purchase
211,952,1/9/23 18:00,3568,Investment
212,786,1/9/23 19:00,1145,Loan Payment
214,284,1/9/23 21:00,3339,Purchase
215,466,1/9/23 22:00,959,Investment
216,80,1/9/23 23:00,1383,Loan Payment
217,692,1/10/23 00:00,966,Investment
218,784,1/10/23 01:00,1711,Loan Payment
219,77,1/10/23 02:00,2951,Loan Payment
220,954,1/10/23 03:00,2492,Investment
221,733,1/10/23 04:00,1313,Purchase
222,905,1/10/23 05:00,380,Bill Payment
223,794,1/10/23 06:00,2990,Loan Payment
224,540,1/10/23 07:00,2306,Loan Payment
225,361,1/10/23 08:00,4808,Bill Payment
226,77,1/10/23 09:00,2135,Bill Payment
227,509,1/10/23 10:00,2976,Investment
228,164,1/10/23 11:00,4155,Loan Payment
229,9,1/10/23 12:00,2752,Investment
230,175,1/10/23 13:00,4031,Bill Payment
231,462,1/10/23 14:00,2374,Investment
232,307,1/10/23 15:00,772,Loan Payment
233,588,1/10/23 16:00,4072,Purchase
234,245,1/10/23 17:00,1014,Purchase
235,122,1/10/23 18:00,3765,Loan Payment
236,185,1/10/23 19:00,2856,Investment
237,32,1/10/23 20:00,359,Bill Payment
238,998,1/10/23 21:00,2974,Bill Payment
239,963,1/10/23 22:00,696,Purchase
240,762,1/10/23 23:00,4647,Investment
241,569,1/11/23 00:00,3136,Bill Payment
242,310,1/11/23 01:00,4466,Bill Payment
243,372,1/11/23 02:00,2765,Loan Payment
244,656,1/11/23 03:00,3534,Investment
245,830,1/11/23 04:00,3634,Investment
246,596,1/11/23 05:00,2742,Bill Payment
247,992,1/11/23 06:00,1703,Investment
248,56,1/11/23 07:00,2902,Investment
249,791,1/11/23 08:00,3821,Investment
250,273,1/11/23 09:00,4190,Loan Payment
251,464,1/11/23 10:00,694,Bill Payment
252,678,1/11/23 11:00,4350,Purchase
253,456,1/11/23 12:00,2929,Investment
255,670,1/11/23 14:00,3293,Purchase
256,249,1/11/23 15:00,4701,Loan Payment
257,698,1/11/23 16:00,4036,Bill Payment
258,994,1/11/23 17:00,1166,Loan Payment
259,78,1/11/23 18:00,3071,Bill Payment
260,534,1/11/23 19:00,4455,Loan Payment
261,108,1/11/23 20:00,2339,Bill Payment
262,273,1/11/23 21:00,1302,Loan Payment
263,764,1/11/23 22:00,1894,Purchase
264,15,1/11/23 23:00,1570,Bill Payment
265,370,1/12/23 00:00,993,Purchase
266,304,1/12/23 01:00,2077,Investment
267,672,1/12/23 02:00,1873,Purchase
268,205,1/12/23 03:00,1989,Bill Payment
269,981,1/12/23 04:00,1746,Purchase
270,113,1/12/23 05:00,2462,Bill Payment
271,680,1/12/23 06:00,1928,Loan Payment
272,865,1/12/23 07:00,710,Investment
274,441,1/12/23 09:00,2083,Investment
275,186,1/12/23 10:00,4671,Purchase
276,859,1/12/23 11:00,3763,Bill Payment
277,227,1/12/23 12:00,404,Purchase
278,528,1/12/23 13:00,1966,Investment
279,668,1/12/23 14:00,3058,Purchase
280,354,1/12/23 15:00,3462,Investment
281,623,1/12/23 16:00,532,Investment
282,1,1/12/23 17:00,1572,Bill Payment
283,553,1/12/23 18:00,2919,Loan Payment
284,560,1/12/23 19:00,2859,Loan Payment
285,927,1/12/23 20:00,559,Purchase
287,620,1/12/23 22:00,842,Bill Payment
288,161,1/12/23 23:00,4492,Loan Payment
290,871,1/13/23 01:00,295,Bill Payment
291,128,1/13/23 02:00,2755,Investment
292,722,1/13/23 03:00,3775,Purchase
293,151,1/13/23 04:00,4474,Investment
294,444,1/13/23 05:00,1455,Loan Payment
295,767,1/13/23 06:00,1476,Loan Payment
296,471,1/13/23 07:00,1786,Bill Payment
297,463,1/13/23 08:00,3665,Investment
298,730,1/13/23 09:00,924,Investment
299,30,1/13/23 10:00,297,Bill Payment
300,473,1/13/23 11:00,4200,Purchase
301,557,1/13/23 12:00,2098,Bill Payment
302,80,1/13/23 13:00,4436,Bill Payment
303,39,1/13/23 14:00,1814,Loan Payment
304,240,1/13/23 15:00,1188,Investment
305,557,1/13/23 16:00,2561,Loan Payment
306,590,1/13/23 17:00,4380,Bill Payment
307,337,1/13/23 18:00,1598,Investment
308,908,1/13/23 19:00,1966,Bill Payment
309,861,1/13/23 20:00,1785,Bill Payment
310,800,1/13/23 21:00,4872,Purchase
311,952,1/13/23 22:00,997,Loan Payment
312,280,1/13/23 23:00,1213,Loan Payment
314,269,1/14/23 01:00,1129,Purchase
315,916,1/14/23 02:00,206,Bill Payment
316,335,1/14/23 03:00,3985,Bill Payment
317,312,1/14/23 04:00,535,Bill Payment
318,53,1/14/23 05:00,4737,Purchase
319,68,1/14/23 06:00,1420,Investment
320,694,1/14/23 07:00,4513,Purchase
321,34,1/14/23 08:00,1302,Bill Payment
322,796,1/14/23 09:00,1204,Investment
323,818,1/14/23 10:00,1958,Bill Payment
324,386,1/14/23 11:00,3665,Purchase
325,249,1/14/23 12:00,4796,Purchase
326,111,1/14/23 13:00,2227,Investment
327,94,1/14/23 14:00,4264,Purchase
328,410,1/14/23 15:00,3590,Bill Payment
329,179,1/14/23 16:00,1027,Investment
330,47,1/14/23 17:00,3163,Loan Payment
331,794,1/14/23 18:00,3600,Bill Payment
332,852,1/14/23 19:00,4217,Loan Payment
333,874,1/14/23 20:00,4079,Investment
334,604,1/14/23 21:00,57,Investment
335,376,1/14/23 22:00,3673,Bill Payment
336,724,1/14/23 23:00,4481,Purchase
337,587,1/15/23 00:00,837,Bill Payment
338,890,1/15/23 01:00,4732,Purchase
339,202,1/15/23 02:00,2099,Purchase
340,445,1/15/23 03:00,2066,Bill Payment
341,919,1/15/23 04:00,828,Investment
342,933,1/15/23 05:00,4762,Bill Payment
343,297,1/15/23 06:00,3994,Loan Payment
344,308,1/15/23 07:00,3690,Investment
345,723,1/15/23 08:00,1821,Purchase
347,338,1/15/23 10:00,3124,Bill Payment
348,945,1/15/23 11:00,1639,Investment
349,923,1/15/23 12:00,1553,Purchase
350,646,1/15/23 13:00,3589,Purchase
351,842,1/15/23 14:00,1914,Investment
352,66,1/15/23 15:00,1446,Loan Payment
353,792,1/15/23 16:00,3327,Purchase
354,422,1/15/23 17:00,3530,Loan Payment
355,540,1/15/23 18:00,3069,Purchase
356,924,1/15/23 19:00,4126,Investment
357,629,1/15/23 20:00,1008,Purchase
358,493,1/15/23 21:00,1441,Loan Payment
359,882,1/15/23 22:00,4562,Loan Payment
360,999,1/15/23 23:00,3071,Investment
361,962,1/16/23 00:00,274,Loan Payment
362,317,1/16/23 01:00,3741,Loan Payment
363,942,1/16/23 02:00,2284,Investment
364,837,1/16/23 03:00,3885,Purchase
365,626,1/16/23 04:00,3327,Investment
366,75,1/16/23 05:00,2056,Purchase
367,714,1/16/23 06:00,3154,Purchase
368,939,1/16/23 07:00,3231,Purchase
369,59,1/16/23 08:00,3150,Bill Payment
370,386,1/16/23 09:00,4910,Purchase
372,231,1/16/23 11:00,732,Investment
373,617,1/16/23 12:00,93,Investment
374,677,1/16/23 13:00,4845,Bill Payment
375,199,1/16/23 14:00,3380,Loan Payment
376,916,1/16/23 15:00,3829,Bill Payment
377,354,1/16/23 16:00,3374,Investment
378,35,1/16/23 17:00,1767,Investment
379,162,1/16/23 18:00,4328,Loan Payment
380,757,1/16/23 19:00,2790,Bill Payment
381,982,1/16/23 20:00,3297,Investment
382,799,1/16/23 21:00,2462,Purchase
383,895,1/16/23 22:00,338,Purchase
384,471,1/16/23 23:00,435,Investment
385,531,1/17/23 00:00,779,Purchase
386,964,1/17/23 01:00,3985,Loan Payment
387,792,1/17/23 02:00,617,Investment
388,852,1/17/23 03:00,1862,Bill Payment
389,423,1/17/23 04:00,2682,Investment
390,348,1/17/23 05:00,2134,Loan Payment
391,694,1/17/23 06:00,1310,Bill Payment
392,935,1/17/23 07:00,475,Loan Payment
393,913,1/17/23 08:00,1974,Purchase
394,147,1/17/23 09:00,1955,Purchase
395,374,1/17/23 10:00,2549,Purchase
396,688,1/17/23 11:00,2370,Loan Payment
397,675,1/17/23 12:00,2049,Loan Payment
398,416,1/17/23 13:00,1194,Investment
399,687,1/17/23 14:00,3944,Bill Payment
400,494,1/17/23 15:00,3227,Bill Payment
401,559,1/17/23 16:00,2792,Loan Payment
402,256,1/17/23 17:00,787,Loan Payment
403,960,1/17/23 18:00,3389,Purchase
404,686,1/17/23 19:00,2428,Loan Payment
405,103,1/17/23 20:00,4087,Purchase
406,121,1/17/23 21:00,4272,Loan Payment
407,419,1/17/23 22:00,2449,Bill Payment
408,350,1/17/23 23:00,4841,Investment
409,657,1/18/23 00:00,1999,Loan Payment
410,42,1/18/23 01:00,1076,Purchase
411,367,1/18/23 02:00,954,Investment
412,29,1/18/23 03:00,38,Purchase
413,966,1/18/23 04:00,1907,Purchase
414,892,1/18/23 05:00,1707,Investment
415,785,1/18/23 06:00,2824,Investment
416,977,1/18/23 07:00,3375,Investment
417,14,1/18/23 08:00,2498,Loan Payment
418,920,1/18/23 09:00,1675,Investment
419,953,1/18/23 10:00,4629,Loan Payment
420,818,1/18/23 11:00,1580,Bill Payment
421,825,1/18/23 12:00,1743,Bill Payment
422,485,1/18/23 13:00,769,Purchase
423,189,1/18/23 14:00,2167,Purchase
424,872,1/18/23 15:00,1361,Loan Payment
425,295,1/18/23 16:00,3486,Purchase
426,183,1/18/23 17:00,1278,Bill Payment
428,548,1/18/23 19:00,3959,Loan Payment
429,882,1/18/23 20:00,2617,Investment
431,14,1/18/23 22:00,2640,Purchase
432,923,1/18/23 23:00,2456,Bill Payment
433,635,1/19/23 00:00,1679,Purchase
434,595,1/19/23 01:00,248,Bill Payment
435,159,1/19/23 02:00,3546,Investment
436,494,1/19/23 03:00,3871,Bill Payment
437,329,1/19/23 04:00,3113,Investment
438,614,1/19/23 05:00,1156,Purchase
439,849,1/19/23 06:00,1567,Investment
440,83,1/19/23 07:00,3748,Loan Payment
441,556,1/19/23 08:00,2167,Loan Payment
442,580,1/19/23 09:00,3461,Bill Payment
443,560,1/19/23 10:00,309,Purchase
444,569,1/19/23 11:00,3708,Purchase
445,587,1/19/23 12:00,4063,Bill Payment
446,22,1/19/23 13:00,4869,Loan Payment
447,132,1/19/23 14:00,258,Investment
448,465,1/19/23 15:00,2578,Bill Payment
449,456,1/19/23 16:00,4139,Investment
450,302,1/19/23 17:00,4333,Investment
451,955,1/19/23 18:00,4690,Purchase
452,930,1/19/23 19:00,2870,Loan Payment
453,267,1/19/23 20:00,733,Investment
454,799,1/19/23 21:00,579,Loan Payment
455,395,1/19/23 22:00,229,Purchase
456,120,1/19/23 23:00,1404,Bill Payment
457,246,1/20/23 00:00,2844,Bill Payment
458,568,1/20/23 01:00,2132,Purchase
459,38,1/20/23 02:00,4241,Purchase
460,245,1/20/23 03:00,4010,Investment
461,21,1/20/23 04:00,4359,Purchase
462,110,1/20/23 05:00,3099,Bill Payment
463,606,1/20/23 06:00,59,Loan Payment
464,394,1/20/23 07:00,524,Loan Payment
465,410,1/20/23 08:00,2801,Loan Payment
466,987,1/20/23 09:00,2788,Loan Payment
467,648,1/20/23 10:00,2628,Purchase
468,743,1/20/23 11:00,1847,Purchase
469,8,1/20/23 12:00,4681,Loan Payment
470,444,1/20/23 13:00,1175,Purchase
471,328,1/20/23 14:00,2259,Investment
472,887,1/20/23 15:00,424,Purchase
473,290,1/20/23 16:00,2278,Investment
474,763,1/20/23 17:00,1114,Investment
475,511,1/20/23 18:00,4868,Purchase
476,912,1/20/23 19:00,4668,Loan Payment
477,361,1/20/23 20:00,3366,Investment
478,909,1/20/23 21:00,2426,Purchase
479,599,1/20/23 22:00,1944,Bill Payment
480,716,1/20/23 23:00,213,Loan Payment
481,219,1/21/23 00:00,78,Bill Payment
482,406,1/21/23 01:00,525,Investment
483,992,1/21/23 02:00,3573,Bill Payment
484,753,1/21/23 03:00,4466,Purchase
485,923,1/21/23 04:00,1474,Loan Payment
486,832,1/21/23 05:00,1662,Investment
487,770,1/21/23 06:00,716,Purchase
488,621,1/21/23 07:00,1635,Loan Payment
489,768,1/21/23 08:00,4762,Investment
490,993,1/21/23 09:00,3795,Investment
491,794,1/21/23 10:00,1355,Investment
492,220,1/21/23 11:00,353,Investment
493,595,1/21/23 12:00,3796,Bill Payment
494,107,1/21/23 13:00,545,Bill Payment
495,581,1/21/23 14:00,364,Bill Payment
496,609,1/21/23 15:00,3552,Investment
498,286,1/21/23 17:00,1355,Loan Payment
499,749,1/21/23 18:00,3019,Investment
500,8,1/21/23 19:00,536,Loan Payment
501,806,1/21/23 20:00,940,Loan Payment
502,189,1/21/23 21:00,2766,Bill Payment
503,81,1/21/23 22:00,2292,Investment
504,108,1/21/23 23:00,1956,Bill Payment
505,321,1/22/23 00:00,3937,Bill Payment
506,579,1/22/23 01:00,2551,Bill Payment
507,686,1/22/23 02:00,1926,Investment
508,346,1/22/23 03:00,3370,Investment
509,863,1/22/23 04:00,1603,Bill Payment
510,328,1/22/23 05:00,2935,Loan Payment
511,555,1/22/23 06:00,3635,Loan Payment
512,699,1/22/23 07:00,1233,Investment
513,302,1/22/23 08:00,1969,Purchase
514,200,1/22/23 09:00,975,Bill Payment
515,893,1/22/23 10:00,3688,Bill Payment
516,419,1/22/23 11:00,4322,Purchase
517,39,1/22/23 12:00,632,Investment
518,732,1/22/23 13:00,4458,Loan Payment
519,307,1/22/23 14:00,4797,Investment
520,4,1/22/23 15:00,4736,Loan Payment
521,633,1/22/23 16:00,2382,Loan Payment
522,848,1/22/23 17:00,2958,Investment
523,77,1/22/23 18:00,3309,Bill Payment
524,468,1/22/23 19:00,1178,Bill Payment
525,179,1/22/23 20:00,4759,Bill Payment
526,645,1/22/23 21:00,401,Loan Payment
527,823,1/22/23 22:00,3819,Bill Payment
528,741,1/22/23 23:00,2417,Loan Payment
529,276,1/23/23 00:00,4874,Bill Payment
530,152,1/23/23 01:00,4902,Investment
531,164,1/23/23 02:00,4270,Purchase
532,290,1/23/23 03:00,4838,Loan Payment
533,378,1/23/23 04:00,590,Investment
534,621,1/23/23 05:00,830,Loan Payment
535,638,1/23/23 06:00,1257,Loan Payment
536,752,1/23/23 07:00,133,Investment
537,310,1/23/23 08:00,4449,Bill Payment
538,930,1/23/23 09:00,1884,Loan Payment
539,979,1/23/23 10:00,533,Purchase
540,913,1/23/23 11:00,3133,Purchase
541,389,1/23/23 12:00,4234,Investment
542,857,1/23/23 13:00,3208,Purchase
543,658,1/23/23 14:00,2795,Investment
544,764,1/23/23 15:00,2128,Investment
545,183,1/23/23 16:00,1220,Loan Payment
546,821,1/23/23 17:00,1036,Investment
547,306,1/23/23 18:00,4127,Investment
548,72,1/23/23 19:00,4271,Bill Payment
549,219,1/23/23 20:00,507,Loan Payment
550,719,1/23/23 21:00,4539,Purchase
551,173,1/23/23 22:00,2815,Bill Payment
552,653,1/23/23 23:00,4942,Bill Payment
553,272,1/24/23 00:00,1703,Loan Payment
554,726,1/24/23 01:00,4768,Loan Payment
555,468,1/24/23 02:00,734,Bill Payment
556,269,1/24/23 03:00,385,Loan Payment
557,20,1/24/23 04:00,4408,Loan Payment
558,578,1/24/23 05:00,2462,Investment
559,995,1/24/23 06:00,3869,Loan Payment
560,815,1/24/23 07:00,1696,Investment
561,503,1/24/23 08:00,4813,Bill Payment
562,147,1/24/23 09:00,266,Bill Payment
563,429,1/24/23 10:00,4504,Purchase
564,165,1/24/23 11:00,3610,Loan Payment
565,890,1/24/23 12:00,60,Bill Payment
566,310,1/24/23 13:00,604,Investment
567,518,1/24/23 14:00,4923,Bill Payment
568,14,1/24/23 15:00,4741,Loan Payment
569,132,1/24/23 16:00,3883,Purchase
571,755,1/24/23 18:00,1082,Bill Payment
572,439,1/24/23 19:00,1486,Purchase
573,743,1/24/23 20:00,4880,Loan Payment
574,740,1/24/23 21:00,3030,Loan Payment
575,674,1/24/23 22:00,1674,Purchase
576,795,1/24/23 23:00,4502,Investment
577,263,1/25/23 00:00,2740,Purchase
578,643,1/25/23 01:00,1405,Purchase
579,943,1/25/23 02:00,3907,Bill Payment
580,225,1/25/23 03:00,4634,Investment
581,258,1/25/23 04:00,4790,Purchase
582,234,1/25/23 05:00,4055,Bill Payment
583,336,1/25/23 06:00,2670,Bill Payment
584,409,1/25/23 07:00,2243,Bill Payment
585,828,1/25/23 08:00,3332,Loan Payment
587,24,1/25/23 10:00,4228,Bill Payment
588,271,1/25/23 11:00,2111,Loan Payment
589,95,1/25/23 12:00,1316,Loan Payment
590,142,1/25/23 13:00,1647,Bill Payment
591,694,1/25/23 14:00,1150,Purchase
592,718,1/25/23 15:00,625,Investment
593,902,1/25/23 16:00,4662,Loan Payment
594,974,1/25/23 17:00,4219,Investment
595,81,1/25/23 18:00,1576,Loan Payment
596,274,1/25/23 19:00,986,Bill Payment
597,276,1/25/23 20:00,4806,Loan Payment
598,883,1/25/23 21:00,1326,Bill Payment
599,958,1/25/23 22:00,2349,Investment
600,465,1/25/23 23:00,4366,Purchase
601,208,1/26/23 00:00,2106,Bill Payment
602,296,1/26/23 01:00,388,Investment
603,39,1/26/23 02:00,3475,Investment
604,948,1/26/23 03:00,2281,Loan Payment
605,288,1/26/23 04:00,1056,Bill Payment
606,124,1/26/23 05:00,1017,Investment
607,876,1/26/23 06:00,119,Purchase
608,969,1/26/23 07:00,2781,Loan Payment
609,283,1/26/23 08:00,3893,Loan Payment
610,878,1/26/23 09:00,2610,Investment
611,180,1/26/23 10:00,3253,Bill Payment
612,97,1/26/23 11:00,1015,Loan Payment
614,74,1/26/23 13:00,315,Investment
615,447,1/26/23 14:00,968,Investment
616,785,1/26/23 15:00,963,Bill Payment
617,497,1/26/23 16:00,2678,Purchase
618,561,1/26/23 17:00,3548,Loan Payment
619,484,1/26/23 18:00,2687,Investment
620,849,1/26/23 19:00,1640,Purchase
621,722,1/26/23 20:00,1801,Purchase
622,116,1/26/23 21:00,2613,Bill Payment
623,535,1/26/23 22:00,1981,Bill Payment
624,98,1/26/23 23:00,76,Bill Payment
625,328,1/27/23 00:00,844,Purchase
626,909,1/27/23 01:00,215,Loan Payment
627,407,1/27/23 02:00,2843,Bill Payment
628,313,1/27/23 03:00,4260,Loan Payment
629,702,1/27/23 04:00,1724,Bill Payment
630,694,1/27/23 05:00,1542,Purchase
631,148,1/27/23 06:00,3155,Loan Payment
632,342,1/27/23 07:00,3130,Loan Payment
