Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type_Bill_Payment,Transaction_Type_Investment,Transaction_Type_Loan_Payment,Transaction_Type_Purchase,,,,,
123,373,1/6/23 02:00,2488,0,1,0,0,,,,,
124,81,1/6/23 03:00,4077,0,0,0,1,,,,,
125,873,1/6/23 04:00,1785,1,0,0,0,,,,,
126,640,1/6/23 05:00,1976,0,1,0,0,,,,,
127,695,1/6/23 06:00,1777,0,1,0,0,,,,,
128,755,1/6/23 07:00,3825,0,1,0,0,,,,,
129,697,1/6/23 08:00,251,1,0,0,0,,,,,
130,732,1/6/23 09:00,4807,1,0,0,0,,,,,
131,71,1/6/23 10:00,2959,1,0,0,0,,,,,
132,969,1/6/23 11:00,4846,0,0,1,0,,,,,
133,854,1/6/23 12:00,4886,0,1,0,0,,,,,
134,666,1/6/23 13:00,2266,1,0,0,0,,,,,
135,757,1/6/23 14:00,4121,0,1,0,0,,,,,
136,652,1/6/23 15:00,3378,0,0,1,0,,,,,
137,71,1/6/23 16:00,376,0,0,0,1,,,,,
138,46,1/6/23 17:00,2837,0,0,1,0,,,,,
139,47,1/6/23 18:00,1262,1,0,0,0,,,,,
140,591,1/6/23 19:00,2497,1,0,0,0,,,,,
141,422,1/6/23 20:00,4795,0,0,1,0,,,,,
142,149,1/6/23 21:00,3613,0,1,0,0,,,,,
143,910,1/6/23 22:00,3531,1,0,0,0,,,,,
144,130,1/6/23 23:00,4952,1,0,0,0,,,,,
145,456,1/7/23 00:00,4527,0,0,1,0,,,,,
146,639,1/7/23 01:00,1653,0,1,0,0,,,,,
147,877,1/7/23 02:00,1222,0,0,1,0,,,,,
148,631,1/7/23 03:00,4713,0,0,1,0,,,,,
149,966,1/7/23 04:00,29,0,1,0,0,,,,,
150,997,1/7/23 05:00,685,0,1,0,0,,,,,
151,869,1/7/23 06:00,4487,0,0,0,1,,,,,
152,505,1/7/23 07:00,618,0,0,1,0,,,,,
153,929,1/7/23 08:00,71,0,1,0,0,,,,,
154,774,1/7/23 09:00,1275,1,0,0,0,,,,,
155,244,1/7/23 10:00,2295,0,0,0,1,,,,,
156,474,1/7/23 11:00,1164,0,0,1,0,,,,,
157,382,1/7/23 12:00,1638,0,1,0,0,,,,,
158,103,1/7/23 13:00,1636,0,0,0,1,,,,,
159,489,1/7/23 14:00,3726,0,0,0,1,,,,,
160,37,1/7/23 15:00,1452,1,0,0,0,,,,,
161,654,1/7/23 16:00,1663,0,0,0,1,,,,,
162,549,1/7/23 17:00,2512,0,0,1,0,,,,,
163,520,1/7/23 18:00,3279,0,1,0,0,,,,,
164,743,1/7/23 19:00,291,0,0,0,1,,,,,
165,333,1/7/23 20:00,4991,0,0,0,1,,,,,
166,397,1/7/23 21:00,1034,0,0,1,0,,,,,
167,296,1/7/23 22:00,4828,1,0,0,0,,,,,
168,107,1/7/23 23:00,3413,1,0,0,0,,,,,
169,860,1/8/23 00:00,1245,0,1,0,0,,,,,
170,954,1/8/23 01:00,4192,0,0,1,0,,,,,
171,530,1/8/23 02:00,4770,1,0,0,0,,,,,
172,825,1/8/23 03:00,4967,0,1,0,0,,,,,
173,83,1/8/23 04:00,795,0,1,0,0,,,,,
174,934,1/8/23 05:00,3327,1,0,0,0,,,,,
175,288,1/8/23 06:00,1677,0,0,1,0,,,,,
176,982,1/8/23 07:00,3018,0,0,0,1,,,,,
177,706,1/8/23 08:00,3204,1,0,0,0,,,,,
178,461,1/8/23 09:00,4799,0,0,0,1,,,,,
179,215,1/8/23 10:00,3785,0,0,0,1,,,,,
180,281,1/8/23 11:00,2456,0,0,1,0,,,,,
181,732,1/8/23 12:00,3800,0,0,1,0,,,,,
182,954,1/8/23 13:00,543,0,1,0,0,,,,,
183,459,1/8/23 14:00,411,0,0,1,0,,,,,
184,801,1/8/23 15:00,3673,0,1,0,0,,,,,
185,344,1/8/23 16:00,139,1,0,0,0,,,,,
186,194,1/8/23 17:00,2349,0,0,0,1,,,,,
187,158,1/8/23 18:00,4381,0,0,1,0,,,,,
188,465,1/8/23 19:00,2969,1,0,0,0,,,,,
189,104,1/8/23 20:00,1868,0,1,0,0,,,,,
190,34,1/8/23 21:00,2983,0,0,1,0,,,,,
191,102,1/8/23 22:00,4160,0,0,0,1,,,,,
192,639,1/8/23 23:00,3659,1,0,0,0,,,,,
193,726,1/9/23 00:00,2796,0,0,1,0,,,,,
194,325,1/9/23 01:00,3107,0,0,1,0,,,,,
195,944,1/9/23 02:00,3522,1,0,0,0,,,,,
196,808,1/9/23 03:00,4870,0,1,0,0,,,,,
197,691,1/9/23 04:00,1230,0,1,0,0,,,,,
198,592,1/9/23 05:00,651,0,0,1,0,,,,,
199,141,1/9/23 06:00,3324,0,1,0,0,,,,,
200,474,1/9/23 07:00,733,0,1,0,0,,,,,
201,31,1/9/23 08:00,4907,1,0,0,0,,,,,
202,884,1/9/23 09:00,747,0,1,0,0,,,,,
203,935,1/9/23 10:00,4863,0,1,0,0,,,,,
204,63,1/9/23 11:00,1309,1,0,0,0,,,,,
205,560,1/9/23 12:00,3490,0,0,1,0,,,,,
206,87,1/9/23 13:00,349,0,0,1,0,,,,,
207,304,1/9/23 14:00,162,1,0,0,0,,,,,
208,61,1/9/23 15:00,1431,0,0,0,1,,,,,
209,396,1/9/23 16:00,3061,1,0,0,0,,,,,
210,334,1/9/23 17:00,436,0,0,0,1,,,,,
211,952,1/9/23 18:00,3568,0,1,0,0,,,,,
212,786,1/9/23 19:00,1145,0,0,1,0,,,,,
214,284,1/9/23 21:00,3339,0,0,0,1,,,,,
215,466,1/9/23 22:00,959,0,1,0,0,,,,,
216,80,1/9/23 23:00,1383,0,0,1,0,,,,,
217,692,1/10/23 00:00,966,0,1,0,0,,,,,
218,784,1/10/23 01:00,1711,0,0,1,0,,,,,
219,77,1/10/23 02:00,2951,0,0,1,0,,,,,
220,954,1/10/23 03:00,2492,0,1,0,0,,,,,
221,733,1/10/23 04:00,1313,0,0,0,1,,,,,
222,905,1/10/23 05:00,380,1,0,0,0,,,,,
223,794,1/10/23 06:00,2990,0,0,1,0,,,,,
224,540,1/10/23 07:00,2306,0,0,1,0,,,,,
225,361,1/10/23 08:00,4808,1,0,0,0,,,,,
226,77,1/10/23 09:00,2135,1,0,0,0,,,,,
227,509,1/10/23 10:00,2976,0,1,0,0,,,,,
228,164,1/10/23 11:00,4155,0,0,1,0,,,,,
229,9,1/10/23 12:00,2752,0,1,0,0,,,,,
230,175,1/10/23 13:00,4031,1,0,0,0,,,,,
231,462,1/10/23 14:00,2374,0,1,0,0,,,,,
232,307,1/10/23 15:00,772,0,0,1,0,,,,,
233,588,1/10/23 16:00,4072,0,0,0,1,,,,,
234,245,1/10/23 17:00,1014,0,0,0,1,,,,,
235,122,1/10/23 18:00,3765,0,0,1,0,,,,,
236,185,1/10/23 19:00,2856,0,1,0,0,,,,,
237,32,1/10/23 20:00,359,1,0,0,0,,,,,
238,998,1/10/23 21:00,2974,1,0,0,0,,,,,
239,963,1/10/23 22:00,696,0,0,0,1,,,,,
240,762,1/10/23 23:00,4647,0,1,0,0,,,,,
241,569,1/11/23 00:00,3136,1,0,0,0,,,,,
242,310,1/11/23 01:00,4466,1,0,0,0,,,,,
243,372,1/11/23 02:00,2765,0,0,1,0,,,,,
244,656,1/11/23 03:00,3534,0,1,0,0,,,,,
245,830,1/11/23 04:00,3634,0,1,0,0,,,,,
246,596,1/11/23 05:00,2742,1,0,0,0,,,,,
247,992,1/11/23 06:00,1703,0,1,0,0,,,,,
248,56,1/11/23 07:00,2902,0,1,0,0,,,,,
249,791,1/11/23 08:00,3821,0,1,0,0,,,,,
250,273,1/11/23 09:00,4190,0,0,1,0,,,,,
251,464,1/11/23 10:00,694,1,0,0,0,,,,,
252,678,1/11/23 11:00,4350,0,0,0,1,,,,,
253,456,1/11/23 12:00,2929,0,1,0,0,,,,,
255,670,1/11/23 14:00,3293,0,0,0,1,,,,,
256,249,1/11/23 15:00,4701,0,0,1,0,,,,,
257,698,1/11/23 16:00,4036,1,0,0,0,,,,,
258,994,1/11/23 17:00,1166,0,0,1,0,,,,,
259,78,1/11/23 18:00,3071,1,0,0,0,,,,,
260,534,1/11/23 19:00,4455,0,0,1,0,,,,,
261,108,1/11/23 20:00,2339,1,0,0,0,,,,,
262,273,1/11/23 21:00,1302,0,0,1,0,,,,,
263,764,1/11/23 22:00,1894,0,0,0,1,,,,,
264,15,1/11/23 23:00,1570,1,0,0,0,,,,,
265,370,1/12/23 00:00,993,0,0,0,1,,,,,
266,304,1/12/23 01:00,2077,0,1,0,0,,,,,
267,672,1/12/23 02:00,1873,0,0,0,1,,,,,
268,205,1/12/23 03:00,1989,1,0,0,0,,,,,
269,981,1/12/23 04:00,1746,0,0,0,1,,,,,
270,113,1/12/23 05:00,2462,1,0,0,0,,,,,
271,680,1/12/23 06:00,1928,0,0,1,0,,,,,
272,865,1/12/23 07:00,710,0,1,0,0,,,,,
274,441,1/12/23 09:00,2083,0,1,0,0,,,,,
275,186,1/12/23 10:00,4671,0,0,0,1,,,,,
276,859,1/12/23 11:00,3763,1,0,0,0,,,,,
277,227,1/12/23 12:00,404,0,0,0,1,,,,,
278,528,1/12/23 13:00,1966,0,1,0,0,,,,,
279,668,1/12/23 14:00,3058,0,0,0,1,,,,,
280,354,1/12/23 15:00,3462,0,1,0,0,,,,,
281,623,1/12/23 16:00,532,0,1,0,0,,,,,
282,1,1/12/23 17:00,1572,1,0,0,0,,,,,
283,553,1/12/23 18:00,2919,0,0,1,0,,,,,
284,560,1/12/23 19:00,2859,0,0,1,0,,,,,
285,927,1/12/23 20:00,559,0,0,0,1,,,,,
287,620,1/12/23 22:00,842,1,0,0,0,,,,,
288,161,1/12/23 23:00,4492,0,0,1,0,,,,,
290,871,1/13/23 01:00,295,1,0,0,0,,,,,
291,128,1/13/23 02:00,2755,0,1,0,0,,,,,
292,722,1/13/23 03:00,3775,0,0,0,1,,,,,
293,151,1/13/23 04:00,4474,0,1,0,0,,,,,
294,444,1/13/23 05:00,1455,0,0,1,0,,,,,
295,767,1/13/23 06:00,1476,0,0,1,0,,,,,
296,471,1/13/23 07:00,1786,1,0,0,0,,,,,
297,463,1/13/23 08:00,3665,0,1,0,0,,,,,
298,730,1/13/23 09:00,924,0,1,0,0,,,,,
299,30,1/13/23 10:00,297,1,0,0,0,,,,,
300,473,1/13/23 11:00,4200,0,0,0,1,,,,,
301,557,1/13/23 12:00,2098,1,0,0,0,,,,,
302,80,1/13/23 13:00,4436,1,0,0,0,,,,,
303,39,1/13/23 14:00,1814,0,0,1,0,,,,,
304,240,1/13/23 15:00,1188,0,1,0,0,,,,,
305,557,1/13/23 16:00,2561,0,0,1,0,,,,,
306,590,1/13/23 17:00,4380,1,0,0,0,,,,,
307,337,1/13/23 18:00,1598,0,1,0,0,,,,,
308,908,1/13/23 19:00,1966,1,0,0,0,,,,,
309,861,1/13/23 20:00,1785,1,0,0,0,,,,,
310,800,1/13/23 21:00,4872,0,0,0,1,,,,,
311,952,1/13/23 22:00,997,0,0,1,0,,,,,
312,280,1/13/23 23:00,1213,0,0,1,0,,,,,
314,269,1/14/23 01:00,1129,0,0,0,1,,,,,
315,916,1/14/23 02:00,206,1,0,0,0,,,,,
316,335,1/14/23 03:00,3985,1,0,0,0,,,,,
317,312,1/14/23 04:00,535,1,0,0,0,,,,,
318,53,1/14/23 05:00,4737,0,0,0,1,,,,,
319,68,1/14/23 06:00,1420,0,1,0,0,,,,,
320,694,1/14/23 07:00,4513,0,0,0,1,,,,,
321,34,1/14/23 08:00,1302,1,0,0,0,,,,,
322,796,1/14/23 09:00,1204,0,1,0,0,,,,,
323,818,1/14/23 10:00,1958,1,0,0,0,,,,,
324,386,1/14/23 11:00,3665,0,0,0,1,,,,,
325,249,1/14/23 12:00,4796,0,0,0,1,,,,,
326,111,1/14/23 13:00,2227,0,1,0,0,,,,,
327,94,1/14/23 14:00,4264,0,0,0,1,,,,,
328,410,1/14/23 15:00,3590,1,0,0,0,,,,,
329,179,1/14/23 16:00,1027,0,1,0,0,,,,,
330,47,1/14/23 17:00,3163,0,0,1,0,,,,,
331,794,1/14/23 18:00,3600,1,0,0,0,,,,,
332,852,1/14/23 19:00,4217,0,0,1,0,,,,,
333,874,1/14/23 20:00,4079,0,1,0,0,,,,,
334,604,1/14/23 21:00,57,0,1,0,0,,,,,
335,376,1/14/23 22:00,3673,1,0,0,0,,,,,
336,724,1/14/23 23:00,4481,0,0,0,1,,,,,
337,587,1/15/23 00:00,837,1,0,0,0,,,,,
338,890,1/15/23 01:00,4732,0,0,0,1,,,,,
339,202,1/15/23 02:00,2099,0,0,0,1,,,,,
340,445,1/15/23 03:00,2066,1,0,0,0,,,,,
341,919,1/15/23 04:00,828,0,1,0,0,,,,,
342,933,1/15/23 05:00,4762,1,0,0,0,,,,,
343,297,1/15/23 06:00,3994,0,0,1,0,,,,,
344,308,1/15/23 07:00,3690,0,1,0,0,,,,,
345,723,1/15/23 08:00,1821,0,0,0,1,,,,,
347,338,1/15/23 10:00,3124,1,0,0,0,,,,,
348,945,1/15/23 11:00,1639,0,1,0,0,,,,,
349,923,1/15/23 12:00,1553,0,0,0,1,,,,,
350,646,1/15/23 13:00,3589,0,0,0,1,,,,,
351,842,1/15/23 14:00,1914,0,1,0,0,,,,,
352,66,1/15/23 15:00,1446,0,0,1,0,,,,,
353,792,1/15/23 16:00,3327,0,0,0,1,,,,,
354,422,1/15/23 17:00,3530,0,0,1,0,,,,,
355,540,1/15/23 18:00,3069,0,0,0,1,,,,,
356,924,1/15/23 19:00,4126,0,1,0,0,,,,,
357,629,1/15/23 20:00,1008,0,0,0,1,,,,,
358,493,1/15/23 21:00,1441,0,0,1,0,,,,,
359,882,1/15/23 22:00,4562,0,0,1,0,,,,,
360,999,1/15/23 23:00,3071,0,1,0,0,,,,,
361,962,1/16/23 00:00,274,0,0,1,0,,,,,
362,317,1/16/23 01:00,3741,0,0,1,0,,,,,
363,942,1/16/23 02:00,2284,0,1,0,0,,,,,
364,837,1/16/23 03:00,3885,0,0,0,1,,,,,
365,626,1/16/23 04:00,3327,0,1,0,0,,,,,
366,75,1/16/23 05:00,2056,0,0,0,1,,,,,
367,714,1/16/23 06:00,3154,0,0,0,1,,,,,
368,939,1/16/23 07:00,3231,0,0,0,1,,,,,
369,59,1/16/23 08:00,3150,1,0,0,0,,,,,
370,386,1/16/23 09:00,4910,0,0,0,1,,,,,
372,231,1/16/23 11:00,732,0,1,0,0,,,,,
373,617,1/16/23 12:00,93,0,1,0,0,,,,,
374,677,1/16/23 13:00,4845,1,0,0,0,,,,,
375,199,1/16/23 14:00,3380,0,0,1,0,,,,,
376,916,1/16/23 15:00,3829,1,0,0,0,,,,,
377,354,1/16/23 16:00,3374,0,1,0,0,,,,,
378,35,1/16/23 17:00,1767,0,1,0,0,,,,,
379,162,1/16/23 18:00,4328,0,0,1,0,,,,,
380,757,1/16/23 19:00,2790,1,0,0,0,,,,,
381,982,1/16/23 20:00,3297,0,1,0,0,,,,,
382,799,1/16/23 21:00,2462,0,0,0,1,,,,,
383,895,1/16/23 22:00,338,0,0,0,1,,,,,
384,471,1/16/23 23:00,435,0,1,0,0,,,,,
385,531,1/17/23 00:00,779,0,0,0,1,,,,,
386,964,1/17/23 01:00,3985,0,0,1,0,,,,,
387,792,1/17/23 02:00,617,0,1,0,0,,,,,
388,852,1/17/23 03:00,1862,1,0,0,0,,,,,
389,423,1/17/23 04:00,2682,0,1,0,0,,,,,
390,348,1/17/23 05:00,2134,0,0,1,0,,,,,
391,694,1/17/23 06:00,1310,1,0,0,0,,,,,
392,935,1/17/23 07:00,475,0,0,1,0,,,,,
393,913,1/17/23 08:00,1974,0,0,0,1,,,,,
394,147,1/17/23 09:00,1955,0,0,0,1,,,,,
395,374,1/17/23 10:00,2549,0,0,0,1,,,,,
396,688,1/17/23 11:00,2370,0,0,1,0,,,,,
397,675,1/17/23 12:00,2049,0,0,1,0,,,,,
398,416,1/17/23 13:00,1194,0,1,0,0,,,,,
399,687,1/17/23 14:00,3944,1,0,0,0,,,,,
400,494,1/17/23 15:00,3227,1,0,0,0,,,,,
401,559,1/17/23 16:00,2792,0,0,1,0,,,,,
402,256,1/17/23 17:00,787,0,0,1,0,,,,,
403,960,1/17/23 18:00,3389,0,0,0,1,,,,,
404,686,1/17/23 19:00,2428,0,0,1,0,,,,,
405,103,1/17/23 20:00,4087,0,0,0,1,,,,,
406,121,1/17/23 21:00,4272,0,0,1,0,,,,,
407,419,1/17/23 22:00,2449,1,0,0,0,,,,,
408,350,1/17/23 23:00,4841,0,1,0,0,,,,,
409,657,1/18/23 00:00,1999,0,0,1,0,,,,,
410,42,1/18/23 01:00,1076,0,0,0,1,,,,,
411,367,1/18/23 02:00,954,0,1,0,0,,,,,
412,29,1/18/23 03:00,38,0,0,0,1,,,,,
413,966,1/18/23 04:00,1907,0,0,0,1,,,,,
414,892,1/18/23 05:00,1707,0,1,0,0,,,,,
415,785,1/18/23 06:00,2824,0,1,0,0,,,,,
416,977,1/18/23 07:00,3375,0,1,0,0,,,,,
417,14,1/18/23 08:00,2498,0,0,1,0,,,,,
418,920,1/18/23 09:00,1675,0,1,0,0,,,,,
419,953,1/18/23 10:00,4629,0,0,1,0,,,,,
420,818,1/18/23 11:00,1580,1,0,0,0,,,,,
421,825,1/18/23 12:00,1743,1,0,0,0,,,,,
422,485,1/18/23 13:00,769,0,0,0,1,,,,,
423,189,1/18/23 14:00,2167,0,0,0,1,,,,,
424,872,1/18/23 15:00,1361,0,0,1,0,,,,,
425,295,1/18/23 16:00,3486,0,0,0,1,,,,,
426,183,1/18/23 17:00,1278,1,0,0,0,,,,,
428,548,1/18/23 19:00,3959,0,0,1,0,,,,,
429,882,1/18/23 20:00,2617,0,1,0,0,,,,,
431,14,1/18/23 22:00,2640,0,0,0,1,,,,,
432,923,1/18/23 23:00,2456,1,0,0,0,,,,,
433,635,1/19/23 00:00,1679,0,0,0,1,,,,,
434,595,1/19/23 01:00,248,1,0,0,0,,,,,
435,159,1/19/23 02:00,3546,0,1,0,0,,,,,
436,494,1/19/23 03:00,3871,1,0,0,0,,,,,
437,329,1/19/23 04:00,3113,0,1,0,0,,,,,
438,614,1/19/23 05:00,1156,0,0,0,1,,,,,
439,849,1/19/23 06:00,1567,0,1,0,0,,,,,
440,83,1/19/23 07:00,3748,0,0,1,0,,,,,
441,556,1/19/23 08:00,2167,0,0,1,0,,,,,
442,580,1/19/23 09:00,3461,1,0,0,0,,,,,
443,560,1/19/23 10:00,309,0,0,0,1,,,,,
444,569,1/19/23 11:00,3708,0,0,0,1,,,,,
445,587,1/19/23 12:00,4063,1,0,0,0,,,,,
446,22,1/19/23 13:00,4869,0,0,1,0,,,,,
447,132,1/19/23 14:00,258,0,1,0,0,,,,,
448,465,1/19/23 15:00,2578,1,0,0,0,,,,,
449,456,1/19/23 16:00,4139,0,1,0,0,,,,,
450,302,1/19/23 17:00,4333,0,1,0,0,,,,,
451,955,1/19/23 18:00,4690,0,0,0,1,,,,,
452,930,1/19/23 19:00,2870,0,0,1,0,,,,,
453,267,1/19/23 20:00,733,0,1,0,0,,,,,
454,799,1/19/23 21:00,579,0,0,1,0,,,,,
455,395,1/19/23 22:00,229,0,0,0,1,,,,,
456,120,1/19/23 23:00,1404,1,0,0,0,,,,,
457,246,1/20/23 00:00,2844,1,0,0,0,,,,,
458,568,1/20/23 01:00,2132,0,0,0,1,,,,,
459,38,1/20/23 02:00,4241,0,0,0,1,,,,,
460,245,1/20/23 03:00,4010,0,1,0,0,,,,,
461,21,1/20/23 04:00,4359,0,0,0,1,,,,,
462,110,1/20/23 05:00,3099,1,0,0,0,,,,,
463,606,1/20/23 06:00,59,0,0,1,0,,,,,
464,394,1/20/23 07:00,524,0,0,1,0,,,,,
465,410,1/20/23 08:00,2801,0,0,1,0,,,,,
466,987,1/20/23 09:00,2788,0,0,1,0,,,,,
467,648,1/20/23 10:00,2628,0,0,0,1,,,,,
468,743,1/20/23 11:00,1847,0,0,0,1,,,,,
469,8,1/20/23 12:00,4681,0,0,1,0,,,,,
470,444,1/20/23 13:00,1175,0,0,0,1,,,,,
471,328,1/20/23 14:00,2259,0,1,0,0,,,,,
472,887,1/20/23 15:00,424,0,0,0,1,,,,,
473,290,1/20/23 16:00,2278,0,1,0,0,,,,,
474,763,1/20/23 17:00,1114,0,1,0,0,,,,,
475,511,1/20/23 18:00,4868,0,0,0,1,,,,,
